# x_m,y_m
-0.252744,-0.020673
-0.067649,-5.035478
0.005160,-10.050238
-0.074496,-15.054025
-0.346794,-20.035909
-0.851912,-24.984960
-1.630028,-29.890248
-2.712906,-34.740012
-4.098515,-39.519144
-5.776341,-44.211697
-7.735868,-48.801724
-9.966584,-53.273278
-12.457942,-57.610477
-15.198158,-61.799985
-18.173824,-65.831797
-21.371425,-69.696132
-24.777446,-73.383211
-28.378370,-76.883252
-32.160683,-80.186477
-36.110869,-83.283104
-40.215411,-86.163352
-44.460795,-88.817443
-48.833504,-91.235595
-53.320023,-93.408028
-57.907111,-95.326030
-62.583589,-96.988892
-67.339213,-98.399535
-72.163741,-99.560900
-77.046936,-100.475927
-81.978556,-101.147556
-86.948362,-101.578727
-91.946114,-101.772379
-96.961572,-101.731454
-101.984497,-101.458891
-107.004649,-100.957630
-112.010843,-100.233627
-116.772147,-99.994368
-120.625164,-102.342738
-123.820188,-106.679162
-127.264139,-110.471608
-131.532373,-112.221750
-136.370173,-111.801413
-141.044335,-110.258780
-145.712575,-108.300926
-150.639373,-106.563301
-155.675987,-105.070044
-160.170352,-103.100699
-163.440617,-99.932166
-164.814181,-95.416758
-164.354190,-90.063508
-164.688669,-85.232883
-167.155762,-81.538933
-170.903370,-78.497722
-174.999398,-75.587720
-179.045005,-72.585492
-182.999208,-69.467656
-186.827643,-66.214525
-190.495945,-62.806418
-193.969752,-59.223650
-197.221377,-55.453077
-200.246073,-51.504025
-203.044020,-47.390641
-205.615397,-43.127074
-207.960381,-38.727471
-210.079151,-34.205980
-211.971886,-29.576750
-213.638764,-24.853928
-215.079964,-20.051661
-216.295664,-15.184099
-217.286042,-10.265388
-218.051079,-5.309654
-218.584844,-0.330326
-218.874637,4.659960
-218.907384,9.648614
-218.670015,14.623043
-218.149457,19.570656
-217.333659,24.479115
-216.241246,29.343635
-214.926138,34.168124
-213.444203,38.956974
-211.851310,43.714573
-210.203327,48.445311
-208.549912,53.153983
-206.900896,57.847977
-205.250397,62.535706
-203.592492,67.225585
-201.921262,71.926029
-200.230784,76.645453
-198.507664,81.384494
-196.690298,86.093609
-194.697945,90.703338
-192.449818,95.144170
-189.865127,99.346595
-186.863463,103.241312
-183.413812,106.786457
-179.582937,109.994472
-175.449102,112.884188
-171.090571,115.474436
-166.585607,117.784045
-162.012108,119.831558
-157.400843,121.598282
-152.689375,122.991883
-147.808074,123.920759
-142.802241,124.580170
-137.850615,125.498453
-133.144421,127.194380
-128.938248,129.828739
-125.530198,133.316504
-123.209794,137.564437
-122.000548,142.383513
-121.629439,147.477932
-121.820474,152.561269
-122.446218,157.523850
-123.476133,162.371284
-124.881347,167.111161
-126.632984,171.751071
-128.702173,176.298600
-131.066026,180.744408
-133.721514,185.022989
-136.669722,189.057207
-139.897817,192.799012
-143.308397,196.377090
-146.772287,199.986510
-150.126224,203.792946
-153.094310,207.864376
-155.379231,212.248068
-156.881028,216.935776
-157.868938,221.815394
-158.647558,226.765495
-159.381305,231.721057
-160.081295,236.678739
-160.750858,241.638337
-161.393320,246.599647
-162.012011,251.562463
-162.610259,256.526580
-163.191392,261.491793
-163.758739,266.457897
-164.315628,271.424687
-164.865387,276.391958
-165.411345,281.359505
-165.956475,286.327145
-166.501590,291.294828
-167.046690,296.262551
-167.591774,301.230317
-168.136841,306.198123
-168.681889,311.165969
-169.226918,316.133855
-169.771927,321.101781
-170.316914,326.069745
-170.861878,331.037748
-171.406818,336.005789
-171.951732,340.973868
-172.496621,345.941983
-173.041482,350.910136
-173.586314,355.878324
-174.131117,360.846548
-174.675889,365.814807
-175.220629,370.783101
-175.765335,375.751429
-176.310007,380.719791
-176.854644,385.688186
-177.399245,390.656614
-177.943807,395.625074
-178.488331,400.593566
-179.032814,405.562090
-179.577257,410.530645
-180.121657,415.499230
-180.666014,420.467845
-181.210326,425.436490
-181.754592,430.405164
-182.298812,435.373866
-182.842983,440.342597
-183.387105,445.311355
-183.931177,450.280141
-184.475198,455.248953
-185.019166,460.217791
-185.563080,465.186656
-186.106939,470.155546
-186.650742,475.124460
-187.194489,480.093399
-187.738176,485.062362
-188.281805,490.031348
-188.825372,495.000358
-189.368878,499.969390
-189.912321,504.938444
-190.455700,509.907519
-190.998994,514.876617
-191.542048,519.845746
-192.084659,524.814919
-192.626621,529.784148
-193.167730,534.753444
-193.707780,539.722820
-194.246568,544.692289
-194.783886,549.661862
-195.319532,554.631551
-195.853300,559.601369
-196.384985,564.571328
-196.914382,569.541440
-197.441286,574.511717
-197.965493,579.482172
-198.486797,584.452816
-199.004993,589.423661
-199.519878,594.394721
-200.031244,599.366006
-200.538889,604.337530
-201.042606,609.309304
-201.542191,614.281341
-202.037440,619.253652
-202.528146,624.226250
-203.014200,629.199145
-203.496703,634.172307
-203.977605,639.145683
-204.458870,644.119219
-204.942464,649.092860
-205.430352,654.066550
-205.924499,659.040237
-206.426870,664.013864
-206.939431,668.987378
-207.464146,673.960724
-208.002981,678.933847
-208.557901,683.906693
-209.128465,688.879248
-209.705543,693.851647
-210.278043,698.824059
-210.834876,703.796652
-211.364948,708.769594
-211.857171,713.743054
-212.300452,718.717200
-212.683701,723.692202
-212.995827,728.668226
-213.225738,733.645442
-213.362343,738.624019
-213.391288,743.603376
-213.191316,748.558474
-212.512882,753.434911
-211.100232,758.176701
-208.895528,762.749175
-206.243321,767.161010
-203.530431,771.427205
-200.930792,775.597136
-198.364357,779.761188
-195.748926,784.008326
-193.170310,788.377068
-190.833057,792.870280
-188.921603,797.488204
-187.469914,802.218609
-186.450524,807.044176
-185.835786,811.947567
-185.598052,816.911448
-185.709672,821.918483
-186.147536,826.947836
-186.918679,831.955419
-188.042434,836.887659
-189.538170,841.690953
-191.425255,846.311699
-193.722904,850.696456
-196.428191,854.814710
-199.493128,858.682611
-202.864254,862.321977
-206.488105,865.754629
-210.311219,869.002386
-214.280081,872.087214
-218.333718,875.051778
-222.396006,877.980802
-226.388983,880.964107
-230.234688,884.091520
-233.855159,887.452863
-237.175659,891.131866
-240.163792,895.132281
-242.816963,899.401559
-245.133199,903.885981
-247.110525,908.531823
-248.746970,913.285367
-250.052456,918.101100
-251.080021,922.963272
-251.892471,927.862874
-252.552611,932.790895
-253.123244,937.738324
-253.666279,942.696265
-254.214471,947.659485
-254.765740,952.627136
-255.315959,957.598623
-255.860999,962.573353
-256.396733,967.550735
-256.919032,972.530175
-257.423769,977.511080
-257.906816,982.492857
-258.364045,987.474914
-258.791328,992.456656
-259.184538,997.437493
-259.502574,1002.410556
-259.454233,1007.326538
-258.644671,1012.118548
-256.709633,1016.711939
-253.695170,1020.929972
-249.938395,1024.523480
-245.755845,1027.282807
-241.285326,1029.272430
-236.591436,1030.669118
-231.738552,1031.649976
-226.791051,1032.392111
-221.813159,1033.072163
-216.847617,1033.800416
-211.893563,1034.552478
-206.944850,1035.287643
-201.995335,1035.965208
-197.038873,1036.544466
-192.069352,1036.984755
-187.085557,1037.251629
-182.096269,1037.323326
-177.111485,1037.179634
-172.141204,1036.800338
-167.195424,1036.165226
-162.284402,1035.255409
-157.421817,1034.069613
-152.623779,1032.619067
-147.906450,1030.915266
-143.285991,1028.969706
-138.778564,1026.793883
-134.399731,1024.399083
-130.157038,1021.793784
-126.052322,1018.984471
-122.087299,1015.977581
-118.263685,1012.779555
-114.583195,1009.396832
-111.051317,1005.836123
-107.687386,1002.105136
-104.513919,998.211808
-101.553435,994.164076
-98.828449,989.969876
-96.361478,985.637145
-94.162291,981.176548
-92.193619,976.608805
-90.407349,971.956960
-88.755366,967.244053
-87.189556,962.493128
-85.662410,957.726933
-84.146764,952.958341
-82.640153,948.188239
-81.141603,943.416791
-79.650139,938.644159
-78.164786,933.870508
-76.684569,929.096000
-75.208514,924.320800
-73.735645,919.545070
-72.264988,914.768975
-70.795568,909.992677
-69.326410,905.216339
-67.856632,900.440111
-66.386004,895.664030
-64.914564,890.888089
-63.442354,886.112280
-61.969417,881.336597
-60.495793,876.561032
-59.021525,871.785577
-57.546653,867.010226
-56.071219,862.234970
-54.595264,857.459803
-53.118831,852.684717
-51.641961,847.909704
-50.164694,843.134758
-48.687074,838.359870
-47.209141,833.585034
-45.730936,828.810243
-44.252502,824.035487
-42.773880,819.260762
-41.295111,814.486058
-39.816237,809.711368
-38.337299,804.936686
-36.858340,800.162004
-35.379399,795.387314
-33.900513,790.612610
-32.421688,785.837892
-30.942924,781.063159
-29.464221,776.288412
-27.985581,771.513651
-26.507004,766.738877
-25.028490,761.964088
-23.550039,757.189286
-22.071653,752.414472
-20.593331,747.639644
-19.115074,742.864803
-17.636882,738.089950
-16.158756,733.315084
-14.680697,728.540207
-13.202704,723.765317
-11.724779,718.990416
-10.246921,714.215503
-8.769132,709.440579
-7.291411,704.665644
-5.813759,699.890699
-4.336177,695.115742
-2.858665,690.340775
-1.381223,685.565798
0.096148,680.790811
1.573448,676.015814
3.050676,671.240808
4.527831,666.465792
6.004914,661.690767
7.481924,656.915734
8.958860,652.140691
10.435722,647.365640
11.912509,642.590581
13.389222,637.815514
14.865859,633.040438
16.342420,628.265355
17.818905,623.490265
19.295313,618.715167
20.771644,613.940063
22.247897,609.164951
23.724072,604.389834
25.200168,599.614709
26.676185,594.839579
28.152123,590.064442
29.627980,585.289300
31.103758,580.514152
32.579454,575.738999
34.055071,570.963841
35.530648,566.188683
37.006249,561.413532
38.481943,556.638396
39.957795,551.863282
41.433873,547.088199
42.910242,542.313154
44.386971,537.538154
45.864126,532.763208
47.341772,527.988323
48.819979,523.213506
50.298811,518.438766
51.778335,513.664110
53.258619,508.889545
54.739730,504.115080
56.221733,499.340722
57.704697,494.566479
59.188686,489.792358
60.673769,485.018367
62.160012,480.244514
63.647482,475.470807
65.136245,470.697253
66.626369,465.923859
68.117780,461.150613
69.604646,456.376615
71.073455,451.599790
72.510161,446.817978
73.900717,442.029020
75.231079,437.230758
76.484779,432.420425
77.544193,427.569881
78.156085,422.616969
78.060572,417.516222
77.042527,412.521625
74.922386,408.125097
71.568447,404.787384
67.207529,402.680635
62.231977,401.843761
57.041085,402.309462
52.124365,404.028706
48.040517,406.889772
45.278638,410.756564
43.812374,415.328502
43.388980,420.232759
43.730819,425.166258
44.469063,430.093016
45.213857,435.040622
45.695975,440.024251
45.902705,445.032692
45.854169,450.051355
45.570485,455.065649
45.071773,460.060985
44.378165,465.022808
43.511601,469.942843
42.497884,474.826215
41.363314,479.679772
40.134192,484.510361
38.836818,489.324828
37.496593,494.129782
36.126191,498.928420
34.728859,503.721415
33.307620,508.509383
31.865496,513.292936
30.405511,518.072689
28.930688,522.849255
27.444050,527.623249
25.948621,532.395284
24.447423,537.165974
22.943479,541.935933
21.439813,546.705775
19.938900,551.476006
18.441089,556.246710
16.946217,561.017871
15.454118,565.789472
13.964627,570.561496
12.477581,575.333926
10.992813,580.106747
9.510161,584.879940
8.029458,589.653490
6.550541,594.427379
5.073244,599.201591
3.597402,603.976109
2.122852,608.750916
0.649429,613.525996
-0.823033,618.301331
-2.294698,623.076906
-3.765730,627.852702
-5.236295,632.628705
-6.706557,637.404896
-8.176680,642.181259
-9.646830,646.957777
-11.117171,651.734434
-12.587868,656.511213
-14.059073,661.288095
-15.530856,666.065044
-17.003245,670.842021
-18.476270,675.618983
-19.949962,680.395888
-21.424350,685.172696
