# x_m,y_m
54.700265,-5.450214
49.715814,-5.143704
44.729145,-4.875673
39.740608,-4.645000
34.750654,-4.447236
29.759706,-4.276305
24.768173,-4.123303
19.776601,-3.971541
14.785699,-3.799463
9.797158,-3.569855
4.814649,-3.235005
-0.157195,-2.767879
-5.116259,-2.180204
-10.059113,-1.468979
-14.981298,-0.626831
-19.873856,0.372612
-24.727638,1.545584
-29.523420,2.936166
-34.238276,4.580061
-38.854563,6.482479
-43.282287,8.789105
-47.544834,11.388871
-51.625035,14.265955
-55.402642,17.529335
-58.859969,21.130631
-61.992766,25.017660
-64.779673,29.159626
-67.185427,33.533895
-69.183047,38.108890
-70.752105,42.847876
-71.860896,47.714993
-72.468762,52.669568
-72.520691,57.660365
-72.012358,62.626274
-71.083937,67.531897
-69.593140,72.295630
-68.022384,77.024411
-66.728232,81.860215
-64.735031,86.427324
-62.342510,90.811124
-59.531691,94.937223
-56.579020,98.965223
-53.496737,102.893715
-50.281127,106.714329
-46.979754,110.461226
-43.615474,114.151742
-40.207853,117.802296
-36.757779,121.412763
-33.265119,124.982050
-29.718722,128.497887
-26.089539,131.928124
-22.371051,135.261290
-18.550659,138.477168
-14.659856,141.607435
-10.679845,144.623205
-6.560423,147.445138
-2.275325,150.007849
2.208212,152.202709
6.865802,154.001267
11.638544,155.468997
16.501713,156.598134
21.442080,157.314796
26.427439,157.569408
31.412560,157.315086
36.344756,156.546937
41.173733,155.282774
45.842394,153.516575
50.303129,151.276135
54.514055,148.595379
58.451768,145.527114
62.080270,142.098809
65.355054,138.331160
68.243935,134.259857
70.748446,129.941120
72.892136,125.432175
74.680625,120.770944
76.123945,115.991420
77.189279,111.114054
77.862002,106.166194
78.201771,101.184667
78.462411,96.198048
78.457402,91.206358
77.797548,86.259087
76.788778,81.368454
75.658498,76.504367
74.385497,71.675932
72.812651,66.937099
70.988161,62.288889
68.973655,57.719728
66.779585,53.233954
64.443784,48.820218
61.983509,44.474599
59.417400,40.190579
56.758699,35.963373
54.019533,31.787831
51.214983,27.655889
48.366064,23.554383
45.493054,19.469704
42.612611,15.390260
39.734809,11.308952
36.861036,7.224806
33.992110,3.137254
31.130355,-0.955322
28.278527,-5.054820
25.439285,-9.163044
22.615113,-13.281641
19.808115,-17.411961
17.019904,-21.554987
14.251506,-25.711278
11.503598,-29.881142
8.777176,-34.065087
6.072949,-38.263411
3.390003,-42.475367
0.725319,-46.698902
-1.922622,-50.932954
-4.553904,-55.177380
-7.169902,-59.431244
-9.770770,-63.694374
-12.358816,-67.965303
-14.936713,-72.242365
-17.506405,-76.524362
-20.069643,-80.810227
-22.627941,-85.099041
-25.182677,-89.389979
-27.735270,-93.682192
-30.287762,-97.974465
-32.843033,-102.265084
-35.404406,-106.552063
-37.974648,-110.833730
-40.556911,-115.108151
-43.168329,-119.364815
-45.832088,-123.588858
-48.583392,-127.756317
-51.448167,-131.846806
-54.369581,-135.896928
-57.377157,-139.883718
-60.410702,-143.849894
-63.461506,-147.803377
-66.635142,-151.658948
-69.978143,-155.369033
-73.576780,-158.827880
-77.453512,-161.974489
-81.457594,-164.959996
-85.558566,-167.808478
-89.786684,-170.464285
-94.163117,-172.867847
-98.706307,-174.938078
-103.397692,-176.646627
-108.199147,-178.015528
-113.094380,-178.995134
-118.054567,-179.560668
-123.045441,-179.671906
-128.025378,-179.321619
-132.952858,-178.520318
