# x_m,y_m
0.758259,-0.020506
0.316397,-4.997121
-0.274058,-9.958268
-1.025410,-14.897573
-1.949824,-19.807393
-3.059306,-24.678687
-4.365630,-29.500875
-5.879060,-34.262082
-7.605505,-38.950216
-9.549491,-43.552392
-11.714914,-48.054592
-14.104512,-52.441886
-16.719528,-56.698579
-19.560401,-60.807914
-22.624314,-64.753755
-25.904635,-68.521590
-29.393101,-72.097576
-33.079013,-75.469702
-36.947781,-78.630393
-40.983918,-81.574370
-45.172499,-84.297079
-49.499245,-86.794387
-53.950431,-89.062428
-58.512725,-91.097593
-63.172990,-92.897007
-67.917867,-94.459003
-72.731688,-95.791094
-77.594432,-96.934209
-82.487136,-97.952433
-87.398517,-98.884204
-92.318671,-99.757360
-97.247174,-100.607201
-102.161480,-101.467163
-107.066976,-102.395763
-111.982808,-103.425929
-116.802767,-104.540733
-121.642187,-105.791489
-126.574623,-106.922125
-131.492020,-107.650056
-136.474439,-107.827688
-141.446507,-107.288821
-146.268445,-106.060975
-150.898594,-104.235933
-155.244919,-101.785180
-159.193499,-98.722837
-162.518206,-95.002489
-165.422901,-90.921411
-168.090074,-86.690394
-170.947313,-82.597575
-173.892959,-78.564597
-176.884776,-74.568829
-179.918352,-70.599435
-182.981220,-66.649541
-186.065220,-62.715693
-189.161695,-58.792118
-192.259619,-54.872414
-195.322950,-50.926938
-198.284942,-46.904551
-201.080816,-42.764673
-203.682163,-38.499557
-206.082723,-34.118181
-208.280153,-29.631459
-210.272369,-25.049901
-212.057427,-20.383714
-213.633649,-15.642906
-214.999916,-10.837374
-216.155495,-5.976838
-217.099160,-1.070733
-217.828860,3.871724
-218.342289,8.841306
-218.637265,13.828674
-218.711470,18.824151
-218.562824,23.817805
-218.192727,28.800048
-217.606780,33.761694
-216.811384,38.694058
-215.812398,43.589299
-214.615722,48.440079
-213.226840,53.239244
-211.647963,57.979260
-209.877539,62.651010
-207.912539,67.244335
-205.753179,71.749877
-203.402208,76.158225
-200.861708,80.459943
-198.130006,84.643053
-195.203726,88.692186
-192.079818,92.590817
-188.755793,96.320662
-185.229987,99.859840
-181.504417,103.187842
-177.592295,106.294255
-173.505038,109.165396
-169.242870,111.770502
-164.817637,114.086802
-160.277522,116.167258
-155.683607,118.133023
-151.079739,120.077898
-146.509825,122.096815
-142.040123,124.332180
-137.774569,126.934823
-133.845612,130.018981
-130.400805,133.632380
-127.586608,137.745084
-125.541799,142.294171
-124.296719,147.128824
-123.775709,152.094573
-123.889900,157.086864
-124.558834,162.036011
-125.705553,166.897251
-127.258196,171.644976
-129.149972,176.268574
-131.320415,180.768556
-133.717685,185.152204
-136.295095,189.432165
-139.004312,193.629694
-141.780838,197.783398
-144.555105,201.938630
-147.258226,206.140333
-149.818977,210.430016
-152.162195,214.842059
-154.270577,219.371362
-156.189002,223.984394
-157.950385,228.659664
-159.571230,233.385605
-161.057948,238.155496
-162.418377,242.962953
-163.660619,247.802314
-164.793108,252.668547
-165.824478,257.557226
-166.763462,262.464504
-167.618768,267.387072
-168.398582,272.322179
