# x_m,y_m
-1.684480,-297.704731
-2.228068,-292.728092
-2.770439,-287.751510
-3.311501,-282.774997
-3.851161,-277.798567
-4.389328,-272.822230
-4.925909,-267.845999
-5.460811,-262.869886
-5.993942,-257.893903
-6.525210,-252.918062
-7.054523,-247.942374
-7.581788,-242.966853
-8.106913,-237.991510
-8.629805,-233.016356
-9.150372,-228.041404
-9.668522,-223.066667
-10.184224,-218.092123
-10.697736,-213.117601
-11.209401,-208.142883
-11.719563,-203.167753
-12.228564,-198.191993
-12.736747,-193.215388
-13.244456,-188.237719
-13.752033,-183.258770
-14.259822,-178.278324
-14.768167,-173.296165
-15.277409,-168.312074
-15.787885,-163.325845
-16.299573,-158.337709
-16.811929,-153.348539
-17.324370,-148.359257
-17.836313,-143.370787
-18.347172,-138.384051
-18.856365,-133.399971
-19.363306,-128.419472
-19.867414,-123.443475
-20.368102,-118.472904
-20.864789,-113.508680
-21.356889,-108.551727
-21.844322,-103.602267
-22.331112,-98.654795
-22.823285,-93.701013
-23.326882,-88.732606
-23.847943,-83.741256
-24.392509,-78.718648
-24.957543,-73.659683
-25.467396,-68.585016
-25.811572,-63.527661
-25.879354,-58.520709
-25.560029,-53.597250
-24.743094,-48.790320
-23.375434,-44.117923
-21.538121,-39.562922
-19.331385,-35.103158
-16.855452,-30.716476
-14.210551,-26.380720
-11.496494,-22.073454
-8.806671,-17.767942
-6.229424,-13.434064
-3.852961,-9.041612
-1.765489,-4.560374
-0.055215,0.039857
1.208416,4.779353
2.031009,9.638620
2.436931,14.588229
2.450551,19.598747
2.096236,24.640742
1.398352,29.684784
0.374310,34.696020
-0.985687,39.618406
-2.698084,44.390719
-4.779326,48.951735
-7.245858,53.240232
-10.113078,57.196607
-13.359097,60.819017
-16.915493,64.177694
-20.710916,67.347405
-24.674019,70.402918
-28.733452,73.418998
-32.817872,76.469846
-36.856111,79.610341
-40.777216,82.871716
-44.510245,86.283762
-47.984260,89.876268
-51.128318,93.679027
-53.881610,97.716410
-56.251399,101.976363
-58.273000,106.431827
-59.981814,111.055692
-61.413242,115.820853
