# x_m,y_m
18.093067,-40.979415
20.342733,-45.422421
22.589676,-49.866799
24.836580,-54.311188
27.095594,-58.749404
29.382586,-63.173279
31.724381,-67.568363
34.162609,-71.910586
36.738210,-76.173476
39.525953,-80.295463
42.422954,-84.353174
45.167125,-88.500576
48.778451,-91.920210
52.293291,-95.441948
55.588727,-99.182624
58.912206,-102.890671
62.953600,-105.764549
66.943910,-108.767804
70.962968,-111.699058
75.164526,-114.364600
79.437756,-116.928384
83.740255,-119.435502
88.044445,-121.940325
92.337100,-124.464544
96.617732,-127.009429
100.892186,-129.564903
105.167704,-132.118575
109.452275,-134.657016
113.752271,-137.169226
118.072027,-139.647320
122.414350,-142.085672
126.781226,-144.479774
131.174545,-146.825003
135.596095,-149.116494
140.047472,-151.349489
144.531134,-153.516983
149.045939,-155.618179
153.596828,-157.641325
158.186367,-159.573209
162.802683,-161.441161
167.478171,-163.158971
172.182350,-164.780882
176.989194,-166.094217
181.902517,-166.934268
186.649729,-168.380621
191.495042,-169.562180
196.327504,-170.753373
201.154157,-171.977370
205.984988,-173.194119
210.800551,-174.460264
215.594772,-175.808891
220.353212,-177.277352
225.065599,-178.887838
229.721369,-180.655329
234.321581,-182.561764
238.894104,-184.533814
243.462348,-186.519085
248.034696,-188.495813
252.615993,-190.447148
257.233331,-192.310513
261.925521,-193.977310
266.714689,-195.338703
271.599813,-196.297146
276.555776,-196.760134
281.530781,-196.646986
286.444261,-195.865179
291.154934,-194.270486
295.451147,-191.769517
299.093927,-188.389801
301.823264,-184.239645
303.386736,-179.526604
303.719759,-174.570904
302.896470,-169.669442
300.935141,-165.102417
298.169392,-160.966216
294.821974,-157.285298
291.020321,-154.073791
286.889184,-151.297026
282.511678,-148.926162
277.954384,-146.920948
273.270335,-145.231733
268.497195,-143.812508
263.661421,-142.623436
258.788742,-141.595253
253.899847,-140.646898
249.001653,-139.747675
244.096764,-138.885704
239.188139,-138.045229
234.277048,-137.215471
229.359211,-136.429806
224.427084,-135.747120
219.483750,-135.143755
214.535376,-134.590820
209.580578,-134.067052
204.651341,-133.371525
199.787550,-132.307521
194.931870,-131.197109
190.069007,-130.125131
185.250717,-128.868948
180.484980,-127.420462
175.737271,-125.919151
170.992437,-124.408447
166.279578,-122.798115
161.600867,-121.092324
156.952153,-119.306406
152.338028,-117.432672
147.758686,-115.475576
143.215381,-113.436185
138.708965,-111.316516
134.239908,-109.119177
129.808504,-106.846850
125.415020,-104.502040
121.060370,-102.085881
116.747931,-99.595184
112.486060,-97.018917
108.279682,-94.353090
104.142447,-91.581261
100.090185,-88.686238
96.106363,-85.698918
92.164346,-82.656402
88.318873,-79.490847
84.731771,-76.040075
81.397537,-72.340727
78.237857,-68.492101
75.373720,-64.421553
72.837008,-60.131597
70.475523,-55.748463
68.137436,-51.355292
65.921570,-46.893977
63.805899,-42.385931
61.740324,-37.854660
59.721616,-33.301945
57.735672,-28.734928
55.775641,-24.156747
53.831703,-19.571714
51.887593,-14.986752
49.925119,-10.409621
47.920086,-5.850997
45.851382,-1.320945
43.668790,3.154862
41.126589,7.435207
38.154988,11.426930
34.573729,14.876850
30.330612,17.451730
25.480836,18.462122
20.560700,17.817554
15.886185,16.111389
11.420190,13.916770
7.256536,11.184468
3.162666,8.377809
0.542086,4.172528
-0.735708,-0.609391
0.105062,-5.495558
1.752585,-10.192422
4.040772,-14.612767
6.458202,-18.967017
8.876928,-23.320213
11.242915,-27.702354
13.556315,-32.112484
15.834382,-36.540989
