# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,4.000,4.000
-41.518941,5.762007,4.000,4.000
-58.175365,15.888576,4.000,4.000
-68.772113,30.376702,4.000,4.000
-75.038469,48.047123,4.000,4.000
-74.845890,63.938914,4.000,4.000
-71.257069,77.698710,4.000,4.000
-62.715877,88.864573,4.000,4.000
-22.368677,131.430922,4.000,4.000
1.379202,152.283252,4.000,4.000
19.153603,160.201102,4.000,4.000
39.303847,158.963558,4.000,4.000
54.588207,152.204878,4.000,4.000
66.726613,141.693377,4.000,4.000
74.297360,128.715510,4.000,4.000
79.039247,112.531180,4.000,4.000
81.422799,96.920500,4.000,4.000
75.451037,71.969874,4.000,4.000
38.215289,14.587587,4.000,4.000
-5.740362,-51.530067,4.000,4.000
-54.982838,-132.194850,4.000,4.000
-79.571264,-161.057338,4.000,4.000
-95.486734,-176.239153,4.000,4.000
-114.998340,-182.424327,4.000,4.000
-129.795586,-181.807993,4.000,4.000
-144.798621,-178.099554,4.000,4.000
-156.841922,-170.043821,4.000,4.000
-167.151715,-158.889928,4.000,4.000
-173.248518,-141.704342,4.000,4.000
-177.116447,-105.014708,4.000,4.000
-176.266542,-83.494878,4.000,4.000
-170.499213,-66.607018,4.000,4.000
-160.285670,-54.576575,4.000,4.000
-149.578299,-46.486582,4.000,4.000
-136.281354,-42.793709,4.000,4.000
-103.571154,-38.789802,4.000,4.000
-20.233299,-37.849744,4.000,4.000
30.086527,-40.042484,4.000,4.000
83.846199,-43.168519,4.000,4.000
102.837625,-49.287939,4.000,4.000
117.600809,-57.262586,4.000,4.000
125.270528,-68.357027,4.000,4.000
130.304496,-77.004824,4.000,4.000
133.669287,-86.877361,4.000,4.000
133.932781,-96.578830,4.000,4.000
133.704662,-103.375792,4.000,4.000
131.928280,-114.367009,4.000,4.000
127.233910,-124.102385,4.000,4.000
119.468788,-135.793845,4.000,4.000
50.212691,-187.291233,4.000,4.000
39.120076,-194.584805,4.000,4.000
22.939906,-200.567034,4.000,4.000
6.420971,-199.985705,4.000,4.000
-9.403037,-194.540691,4.000,4.000
-18.185210,-188.122444,4.000,4.000
-26.672205,-181.429711,4.000,4.000
-34.979850,-166.193905,4.000,4.000
-37.248613,-155.318904,4.000,4.000
-36.753939,-140.483122,4.000,4.000
-33.324327,-126.347705,4.000,4.000
-24.670859,-103.256498,4.000,4.000
8.897623,-51.759552,4.000,4.000
49.844303,13.087224,4.000,4.000
97.621525,86.339518,4.000,4.000
121.766057,111.247378,4.000,4.000
132.350005,120.017737,4.000,4.000
147.615858,126.278982,4.000,4.000
164.032394,126.628010,4.000,4.000
177.288699,124.096892,4.000,4.000
190.487312,115.875822,4.000,4.000
198.877227,107.801632,4.000,4.000
233.768168,44.857622,4.000,4.000
237.533867,32.683136,4.000,4.000
238.595278,22.052311,4.000,4.000
235.865249,7.993524,4.000,4.000
231.028741,0.301401,4.000,4.000
221.602991,-8.548146,4.000,4.000
209.518796,-15.244796,4.000,4.000
197.258345,-16.756765,4.000,4.000
169.448147,-15.035163,4.000,4.000
71.541082,-3.691651,4.000,4.000
0.100000,0.100000,4.000,4.000
