# x_m,y_m,w_tr_right_m,w_tr_left_m
0.000000,0.000000,7.000,7.000
0.150703,-4.414067,7.000,7.000
0.319381,-9.285233,7.000,7.000
0.136639,-14.811406,7.000,7.000
-0.383184,-20.603473,7.000,7.000
-0.910330,-25.649386,7.000,7.000
-1.861675,-30.679667,7.000,7.000
-2.987283,-35.714659,7.000,7.000
-4.305149,-40.675772,7.000,7.000
-5.966613,-45.323641,7.000,7.000
-8.204083,-50.673905,7.000,7.000
-10.353948,-54.780544,7.000,7.000
-13.259019,-60.106204,7.000,7.000
-15.918978,-63.882331,7.000,7.000
-19.133254,-68.150128,7.000,7.000
-22.870324,-72.432056,7.000,7.000
-26.901111,-76.747687,7.000,7.000
-33.957465,-82.666233,7.000,7.000
-39.235086,-86.613059,7.000,7.000
-43.601653,-89.457931,7.000,7.000
-48.828093,-92.393565,7.000,7.000
-54.259886,-95.232565,7.000,7.000
-62.817838,-98.813541,7.000,7.000
-68.292128,-100.726954,7.000,7.000
-73.806482,-102.215844,7.000,7.000
-78.880230,-103.086411,7.000,7.000
-83.876639,-103.559050,7.000,7.000
-90.486825,-103.983325,7.000,7.000
-95.776500,-103.910775,7.000,7.000
-101.096027,-103.703528,7.000,7.000
-107.081488,-103.048684,7.000,7.000
-114.287558,-101.692004,7.000,7.000
-120.957918,-102.614989,7.000,7.000
-124.532606,-105.700513,7.000,7.000
-126.948514,-110.220339,7.000,7.000
-130.445530,-113.843089,7.000,7.000
-134.875843,-114.826388,7.000,7.000
-139.503199,-114.165922,7.000,7.000
-163.128770,-105.613165,7.000,7.000
-166.765986,-102.840591,7.000,7.000
-168.831082,-99.357845,7.000,7.000
-168.580360,-95.014233,7.000,7.000
-167.567961,-90.787774,7.000,7.000
-168.197906,-85.777123,7.000,7.000
-172.279596,-81.084472,7.000,7.000
-179.018232,-77.061974,7.000,7.000
-183.471085,-74.125712,7.000,7.000
-188.124714,-70.402756,7.000,7.000
-191.956537,-66.865965,7.000,7.000
-195.890581,-62.891227,7.000,7.000
-199.890845,-58.446473,7.000,7.000
-202.959714,-54.614970,7.000,7.000
-206.769690,-49.542668,7.000,7.000
-209.628214,-44.917370,7.000,7.000
-211.784406,-40.696488,7.000,7.000
-213.895571,-36.198950,7.000,7.000
-216.252493,-30.812866,7.000,7.000
-218.352931,-25.458509,7.000,7.000
-219.773188,-21.108915,7.000,7.000
-220.974959,-16.310943,7.000,7.000
-222.015088,-10.906639,7.000,7.000
-222.706729,-5.871435,7.000,7.000
-223.165194,-0.744640,7.000,7.000
-223.493955,4.689084,7.000,7.000
-223.487710,9.954592,7.000,7.000
-223.231139,15.021610,7.000,7.000
-222.769993,20.537519,7.000,7.000
-221.889539,26.282876,7.000,7.000
-220.641700,32.549047,7.000,7.000
-202.129624,85.113530,7.000,7.000
